韻	字	簡化字	推導音	校正音	罕用標記	註
au	掃	扫	sau3			
au	掃	扫	sau4			
au	掉		diau4			
au	敎		jau4			
au	教		jau4			
au	晧		hau4			
au	梢		shau3			
au	殍		biau4			
au	淖		nau4			
au	皎		jau3			
au	眺		tiau4			
au	票		biau4			
au	票		piau4			
au	祰		kau3			
au	窔		yau4			
au	窕		diau4			
au	粜		tiau4			
au	紹	绍	shau4			
au	菒		gau3			
au	菢		bau4			
au	菬		zhau3			
au	菿		dau4			
au	袌		bau4			
au	覒		mau4			
au	觘		chau4			
au	訬		miau3			
au	釣	钓	diau4			
au	釥		ciau3			
au	镺		au3			
au	镺		au4			
au	鳥	鸟	diau3			
au	㛮		sau3			
au	㛴		nau3			
au	㡑		ziau3			
au	㰶		biau4			
au	㲝		mau4			
au	㺁		nau3			
au	䍮		zhau4			
au	䘨		jau3			
au	䙼		shau4			
au	傲		au4			
au	堖		nau3			
au	堡		bau3			
au	堢		bau3			
au	報	报	bau4			
au	奡		au4			
au	奥		au4			
au	婹		yau3			
au	媢		mau3			
au	媢		mau4			
au	媪		au3			
au	嫂		sau3			
au	尞		liau4			
au	帽		mau4			
au	惱	恼	nau3			
au	愀		ciau3			
au	愺		cau3			
au	慅		cau3			
au	慅		cau4			
au	搜		shau3			
au	旐		zhau4			
au	棗	枣	zau3			
au	棹		zhau4			
au	淼		miau3			
au	渺		miau3			
au	湫		ziau3			
au	皓		hau4			
au	盜	盗	dau4			
au	禂		dau3			
au	稍		shau3			
au	稍		shau4			
au	窖		jau4			
au	筄		yau4			
au	筊		jau3			
au	絞	绞	jau3			
au	絩		tiau4			
au	葆		bau3			
au	葽		yau3			
au	葽		yau4			
au	詔	诏	zhau4			
au	軪		yau4			
au	道		dau4			
au	鄗		hau4			
au	鈔	钞	chau4			
au	勞	劳	lau4			
au	㑿		shau4			
au	㗛		siau4			
au	㥮		chau3			
au	䂽		diau4			
au	䠷		tiau3			
au	䬰		shau4			
au	僄		piau4			
au	剽		piau4			
au	剿		ziau3			
au	勡		piau4			
au	勦	剿	ziau3			
au	喿		sau4			
au	嗃		xau4			
au	奧	奥	au4			
au	媼	媪	au3			
au	嫋	袅	niau3			
au	嫯		au4			
au	慥		cau4			
au	揱		shau4			
au	搗	捣	dau3			
au	搞		jau3			
au	摇		yau4			
au	敫		jau4			
au	楢		chau3			
au	溔		yau3			
au	滈		hau4			
au	照		zhau4			
au	瑁		mau4			
au	瑙		nau3			
au	瑵		zhau3			
au	筱		siau3			
au	綤		shau4			
au	罩		zhau4			
au	腝		nau4			
au	腦	脑	nau3			
au	腦	脑	nau4			
au	艁		cau4			
au	艁		zau4			
au	蓩		mau3			
au	號	号	hau4			
au	裱		biau3			
au	裱		biau4			
au	覜	眺	tiau4			
au	詨		xau4			
au	誂		diau4			
au	趒		tiau4			
au	較	较	jau4			
au	鄝		liau3			
au	鉋	刨	bau4			
au	閙		nau4			
au	隝		diau3			
au	飽	饱	bau3			
au	㟽		biau3			
au	㠀		dau3			
au	㴥		ciau4			
au	㺒		nau3			
au	㺒		xau4			
au	㾭		zhau4			
au	䈃		zhau3			
au	䈇		zhau4			
au	䍜		zhau4			
au	䞴		zhau4			
au	䡚		mau4			
au	僗		lau4			
au	僬		ziau4			
au	劁		ziau4			
au	嘂		jau4			
au	嫖		piau4			
au	嫪		lau4			
au	彯		piau4			
au	慓		biau4			
au	慓		piau4			
au	摽		biau4			
au	摽		piau4			
au	敲		qau4			
au	暠		gau3			
au	槀		gau3			
au	槁		kau3			
au	槁		kau4			
au	槄		tau3			
au	漂		piau4			
au	漅		ziau3			
au	漕		zau4			
au	煼		chau3			
au	熇		kau4			
au	犒		kau4			
au	瘙		sau4			
au	碯		nau3			
au	緢		mau3			
au	緢		mau4			
au	肇		zhau4			
au	膏		gau4			
au	蔦	茑	diau3			
au	蔦	茑	diau4			
au	褓		bau3			
au	覞		yau4			
au	誚	诮	ziau4			
au	誥	诰	gau4			
au	貌		mau4			
au	趙	赵	zhau4			
au	酵		jau4			
au	鉸	铰	jau3			
au	鉸	铰	jau4			
au	銚	铫	diau4			
au	銬	铐	kau4			
au	隩		au4			
au	靤		bau4			
au	靿		yau4			
au	鞄		bau4			
au	駂		bau3			
au	骲		bau4			
au	僚		liau3			
au	蓼		liau3			
au	㙩		liau4			
au	㢗		qau4			
au	㩋		siau3			
au	㩋		siau4			
