韻	字	簡化字	推導音	校正音	罕用標記	註
an	鯿		bian1			
an	㒨		sian1			
an	䉦		cian1			
an	䟍		bian1			
an	劗		zuan1			
an	攛	撺	cuan1			
an	櫼		shan1			
an	歡	欢	huan1			
an	殲	歼	zian1			
an	籓		fan1			
an	飜		fan1			
an	饘		zhan1			
an	驂	骖	can1			
an	鬖		san1			
an	鰜		jan1			
an	鰥	鳏	guan1			
an	鶱	骞	xan1			
an	鶼	鹣	jan1			
an	黫		yan1			
an	黬		jan1			
an	黯		yan1			
an	䪜		chan1			
an	䳺		an1			
an	巔	巅	dian1			
an	彎	弯	wan1			
an	攤	摊	tan1			
an	灘	滩	tan1			
an	籛		zian1			
an	襳		shan1			
an	襳		sian1			
an	躚	跹	sian1			
an	鑑	鉴	jan1			
an	鑒	鉴	jan1			
an	驒		dian1			
an	鬜		qan1			
an	鬝		qan1			
an	鰹	鲣	jan1			
an	鱄		zhuan1			
an	鷒		zhuan1			
an	黰		yan1			
an	鼘		yuan1			
an	龕	龛	kan1			
an	䉳		sian1			
an	䑎		cian1			
an	䙭		qan1			
an	䶬		jan1			
an	囏		jan1			
an	籤	签	cian1			
an	纔	才	shan1			
an	纖	纤	sian1			
an	虃		zian1			
an	蠲		juan1			
an	鑚		zuan1			
an	饜	餍	yan1			
an	驙		zhan1			
an	髖	髋	kuan1			
an	鱕		fan1			
an	䂎		cuan1			
an	癱	瘫	tan1			
an	癲	癫	dian1			
an	籩	笾	bian1			
an	觀	观	guan1			
an	讙		xuan1			
an	讙		huan1			
an	貛		huan1			
an	韆	千	cian1			
an	鱣		zhan1			
an	鸇		zhan1			
an	鹼	硷	cian1			
an	䚭		xuan1			
an	灣	湾	wan1			
an	鑯		zian1			
an	韉	鞯	zian1			
an	齻		dian1			
an	䡽		zuan1			
an	驠		yan1			
an	灥		chuan1			
an	驩		huan1			
an	䘎		wan1			
an	爨		cuan1			
an	䨊		yuan1			
an	鱻		sian1			
an	𠀘		tian1			
an	𠂄		huan1			
an	𠎝		qan1			
an	𠑘		dian1			
an	𠑟		bian1			
an	𠔯		ban1			
an	𠔺		qan1			
an	𠛮		ciuan1			
an	𠝃		yuan1			
an	𠠃		cian1			
an	𠥙		ciuan1			
an	𠦒		ban1			
an	𠨧		cian1			
an	𠴨		guan1			
an	𡄑		zian1			
an	𡈣		siuan1			
an	𡖓		dan1			
an	𡚊		huan1			
an	𡝫		chan1			
an	𡝫		shan1			
an	𡟰		yuan1			
an	𡣬		yuan1			
an	𡨾		yan1			
an	𡪶		han1			
an	𡬖		han1			
an	𡯋		gan1			
an	𡰝		zhuan1			
an	𡷡		yuan1			
an	𢁘		san1			
an	𢃔		chan1			
an	𢃬		zian1			
an	𢇇		guan1			
an	𢘁		sian1			
an	𢛈		chan1			
an	𢜩		qan1			
an	𢦟		kan1			
an	𢧀		gan1			
an	𢮂		jan1			
an	𢳚		jan1			
an	𢽣		qan1			
an	𣀶		zuan1			
an	𣓁		kan1			
an	𣘖		jan1			
an	𣚙		zian1			
an	𣝕		zian1			
an	𣠯		shuan1			
an	𣢺		han1			
an	𣧱		shan1			
an	𣹠		yuan1			
an	𤃳		fan1			
an	𤄜		fan1			
an	𤄺		bian1			
an	𤎟		yan1			
an	𤎥		chan1			
an	𤟟		yan1			
an	𤬪		kan1			
an	𤯌		kan1			
an	𤯎		gan1			
an	𤳖		ban1			
an	𤺏		pan1			
an	𥌈		jan1			
an	𥌭		xuan1			
an	𥑁		bian1			
an	𥑻		sian1			
an	𥟕		xan1			
an	𥠄		duan1			
an	𥣰		bian1			
an	𥵣		duan1			
an	𥷀		yan1			
an	𥸢		zan1			
an	𥻧		jan1			
an	𦃌		sian1			
an	𦋰		jan1			
an	𦎣		yan1			
an	𦒜		xan1			
an	𦕒		dian1			
an	𦙱		san1			
an	𦙽		san1			
an	𦧝		tian1			
an	𦧴		tan1			
an	𦮻		juan1			
an	𦸁		tan1			
an	𦾸		duan1			
an	𧍧		xan1			
an	𧚊		dian1			
an	𧡪		dan1			
an	𧢞		qan1			
an	𧤗		duan1			
an	𧮰		xan1			
an	𧱚		jan1			
an	𧵊		han1			
an	𧽍		dian1			
an	𧽐		qan1			
an	𧾍		zhan1			
an	𧾎		xuan1			
an	𨇱		bian1			
an	𨈭		tan1			
an	𨏉		shuan1			
an	𨏪		shan1			
an	𨓯		yuan1			
an	𨕨		zian1			
an	𨙙		cian1			
an	𨝌		gan1			
an	𨝍		cian1			
an	𨟠		quan1			
an	𨣻		yan1			
an	𨦄		qan1			
an	𩁺		shan1			
an	𩃔		shan1			
an	𩃔		zian1			
an	𩅦		wan1			
an	𩅼		zian1			
an	𩆑		suan1			
an	𩈣		han1			
an	𩋆		qan1			
an	𩌰		shan1			
an	𩎀		jan1			
an	𩎈		zuan1			
an	𩎑		zuan1			
an	𩏩		xan1			
an	𩑟		kan1			
an	𩓧		siuan1			
an	𩔣		zhan1			
an	𩕖		siuan1			
an	𩜾		zhan1			
an	𩝸		yuan1			
an	𩠹		zhuan1			
an	𩥄		dian1			
an	𩬑		dian1			
an	𩱡		jan1			
an	𩱤		jan1			
an	𩼼		zhan1			
an	𪈩		huan1			
an	𪉜		zhan1			
an	𪊑		jan1			
an	𪊑		qan1			
an	𪏆		tuan1			
an	𪏉		zhan1			
an	𪒹		jan1			
an	丸		huan2			
an	凡		fan2			
an	宀		mian2			
an	元		yuan2			
an	冄		rhan2			
an	仝		ciuan2			
an	冉		rhan2			
an	平		pian2			
an	氾	泛	fan2			
an	玄		xuan2			
an	田		tian2			
an	邗		han2			
an	令		lian2			
an	全		ciuan2			
an	刓		wan2			
an	奻		nuan2			
an	帆		fan2			
an	延		yan2			
an	汍	丸	huan2			
an	汗		han2			
an	犴		an2			
an	芄		huan2			
an	芇		man2			
an	芇		mian2			
an	邧		yuan2			
an	年		nian2			
an	阮		yuan2			
an	㔯		siuan2			
an	㡲		huan2			
an	㶣		chan2			
an	㶣		tan2			
an	伭		xan2			
an	佃		tian2			
an	但		tan2			
an	含		han2			
an	园		wan2			
an	妍		yan2			
an	完		huan2			
an	岏		wan2			
an	忨		wan2			
an	抏		wan2			
an	沅		yuan2			
an	男		nan2			
an	芫		yuan2			
an	言		yan2			
an	邯		han2			
an	阽		yan2			
an	㱚		can2			
an	㳂		yuan2			
an	㳄		sian2			
an	㿪		huan2			
an	函		han2			
an	函		xan2			
an	卷		quan2			
an	呥		rhan2			
an	姏		man2			
an	岩		yan2			
an	帘		lian2			
an	弦		xan2			
an	戔	戋	can2			
an	抩		nan2			
an	拈		nian2			
an	拑	钳	qan2			
an	杬		yuan2			
an	沺		tian2			
an	沿		yuan2			
an	炎		yan2			
an	狋		quan2			
an	玭		pian2			
an	肣		han2			
an	肰		rhan2			
an	臤		xan2			
an	郇		huan2			
an	郔		yan2			
an	秊		nian2			
an	怜		lian2			
an	㿼		yan2			
an	䎠		huan2			
an	䙲		xuan2			
an	俓		yan2			
an	前		cian2			
an	南		nan2			
an	咸		xan2			
an	唌		tan2			
an	垣		yuan2			
an	埏		yan2			
an	姸		yan2			
an	峘		huan2			
an	恬		tian2			
an	柈		pan2			
an	柉		fan2			
an	柟		nan2			
an	柟		rhan2			
an	泉		ciuan2			
an	洹		yuan2			
an	洹		huan2			
an	涎		sian2			
an	炶		han2			
an	爰		yuan2			
an	狟		huan2			
an	狿		yan2			
an	玹		xuan2			
an	畇		tian2			
an	畋		tian2			
an	盷		xuan2			
an	眈		tan2			
an	研		yan2			
an	紈	纨	huan2			
an	胆		tan2			
an	胘		xan2			
an	胘		xuan2			
an	荁		huan2			
an	莚		yan2			
an	虷		han2			
an	訇		xuan2			
an	院		huan2			
an	便		pian2			
an	㾆		rhan2			
an	倓		tan2			
an	原		yuan2			
an	員	员	yuan2			
an	圅		han2			
an	垸		huan2			
an	悗		man2			
an	拳		quan2			
an	捐		yuan2			
an	捖		huan2			
an	桓		huan2			
an	歬		cian2			
an	牷		ciuan2			
an	玆	兹	xuan2			
an	痃		xan2			
an	眠		mian2			
an	眩		xuan2			
an	胼		pian2			
an	舩		chuan2			
an	般		pan2			
an	莞		huan2			
an	虔		qan2			
an	蚖		yuan2			
an	蚖		wan2			
an	袁		yuan2			
an	袡		rhan2			
an	袢		fan2			
an	豻		an2			
an	赶		qan2			
an	郯		tan2			
an	連	连	lian2			
an	㒼		man2			
an	㳬		siuan2			
an	䀬		ciuan2			
an	乾	干	qan2			
an	啉		lan2			
an	婘		quan2			
an	婪		lan2			
an	婱		xan2			
an	帴		can2			
an	惏		lan2			
an	惔		tan2			
an	捲	卷	quan2			
an	掮		qan2			
an	揵		qan2			
an	旋		siuan2			
an	晗		han2			
an	曼		man2			
an	梒		han2			
an	梡		huan2			
an	涵		han2			
an	淡		tan2			
an	焉		yan2			
an	琁		siuan2			
an	琂		yan2			
an	甜		tian2			
an	硏		yan2			
an	笲		fan2			
an	粘		nian2			
an	絃	弦	xan2			
an	聅		tan2			
an	舑		rhan2			
an	舷		xan2			
an	船		chuan2			
an	菆		cuan2			
an	菾		tian2			
an	萈		huan2			
an	萑		huan2			
an	蚺		rhan2			
an	蚿		xan2			
an	蛅		rhan2			
an	趼		yan2			
an	閆	闫	yan2			
an	㛹		pian2			
an	㮀		xan2			
an	㺂		yan2			
an	䀽		yan2			
an	䟧		tian2			
an	䬧		yuan2			
an	䭴		huan2			
an	喃		nan2			
an	單	单	chan2			
an	圌		chuan2			
an	堧		rhuan2			
an	媛		yuan2			
an	孱		chan2			
an	寏		huan2			
an	寒		han2			
an	嵁		an2			
an	嵒	岩	yan2			
an	援		yuan2			
an	敦		tuan2			
an	朁		cian2			
an	棉		mian2			
an	棎		chan2			
an	棥		fan2			
an	殘	残	can2			
an	湉		tian2			
an	湔		cian2			
an	湲		yuan2			
an	湲		huan2			
an	然		rhan2			
an	犈		quan2			
an	犍		qan2			
an	猨		yuan2			
an	琕		pian2			
an	番		fan2			
an	筵		yan2			
an	絙		huan2			
an	綖		yan2			
an	葲		ciuan2			
an	葻		lan2			
an	蛝		xan2			
an	蜒		yan2			
an	覃		tan2			
an	遄		chuan2			
an	酣		han2			
an	鈆		yuan2			
an	鈐	钤	qan2			
an	閑	闲	xan2			
an	閒	闲	xan2			
an	雂		qan2			
an	雃		an2			
an	嵐	岚	lan2			
an	㡘		lian2			
an	㮌		mian2			
an	㽎		tan2			
an	䇾		yan2			
an	䓂		yan2			
an	䘰		yan2			
an	䬯		nian2			
an	䯈		wan2			
an	傳	传	chuan2			
an	剸		tuan2			
an	嗔		tian2			
an	嗹		lian2			
an	園	园	yuan2			
an	圓	圆	siuan2			
an	圓	圆	yuan2			
an	塡		tian2			
an	塩		yan2			
an	填		tian2			
an	媻		pan2			
an	嫄		yuan2			
an	嫌		xan2			
an	幋		pan2			
an	揅		yan2			
an	搷		tian2			
an	椯		chuan2			
an	椷		xan2			
an	椽		chuan2			
an	楄	匾	pian2			
an	楌		yan2			
an	楠		nan2			
