韻	調	字	簡化字	推導音	校正音	罕用標記	註
a	1	礣	礣	ma1			
a	1	礤	礤	ca1			
a	1	襪	袜	wa1			
a	1	躂	躂	ta1			
a	1	鵶	鵶	ya1			
a	1	鵽	鵽	zhua1			
a	1	鼃	鼃	wa1			
a	1	䕓	䕓	chua1			
a	1	䦱	䦱	kua1			
a	1	䶎	䶎	xa1			
a	1	糲	粝	la1			
a	1	闥	闼	ta1			
a	1	鰈	鲽	ta1			
a	1	麚	麚	ja1			
a	1	䌨	䌨	ca1			
a	1	䶗	䶗	qa1			
a	1	䶘	䶘	la1			
a	1	囃	囃	ca1			
a	1	灋	灋	fa1			
a	1	韃	鞑	ta1			
a	1	鰨	鳎	ta1			
a	1	鷨	鷨	hua1			
a	1	癩	癞	la1			
a	1	臘	腊	la1			
a	1	蠟	蜡	la1			
a	1	䶛	䶛	la1			
a	1	鬝	鬝	qa1			
a	1	齂	齂	ma1			
a	1	轢	轹	la1			
a	1	躠	躠	sa1			
a	1	鑞	鑞	la1			
a	1	韈	韈	wa1			
a	1	韤	韤	wa1			
a	1	鱊	鱊	gua1			
a	1	齄	齄	zha1			
a	1	䯦	䯦	ma1			
a	1	䵵	䵵	chua1			
a	1	䶢	䶢	ja1			
a	1	䶢	䶢	qa1			
a	1	齇	齇	zha1			
a	1	䲚	䲚	ta1			
a	1	䶥	䶥	zha1			
a	1	齾	齾	ya1			
a	1	𠇗	𠇗	kua1			
a	1	𠍹	𠍹	zha1			
a	1	𠎷	𠎷	sa1			
a	1	𠕣	𠕣	qa1			
a	1	𠗨	𠗨	zha1			
a	1	𠛉	𠛉	qa1			
a	1	𠜲	𠜲	ya1			
a	1	𠜵	𠜵	ja1			
a	1	𠞈	𠞈	da1			
a	1	𠞊	𠞊	cha1			
a	1	𠟽	𠟽	gua1			
a	1	𠦄	𠦄	sa1			
a	1	𠩘	𠩘	ja1			
a	1	𠯗	𠯗	za1			
a	1	𠱡	𠱡	sa1			
a	1	𠴺	𠴺	ya1			
a	1	𠿓	𠿓	sa1			
a	1	𠿡	𠿡	zhua1			
a	1	𡁑	𡁑	hua1			
a	1	𡇼	𡇼	ya1			
a	1	𡖹	𡖹	cha1			
a	1	𡤙	𡤙	na1			
a	1	𡤫	𡤫	qa1			
a	1	𡿖	𡿖	ya1			
a	1	𢂷	𢂷	ja1			
a	1	𢂿	𢂿	qa1			
a	1	𢃕	𢃕	ta1			
a	1	𢃴	𢃴	la1			
a	1	𢈠	𢈠	la1			
a	1	𢕬	𢕬	sa1			
a	1	𢛁	𢛁	da1			
a	1	𢧖	𢧖	zha1			
a	1	𢴄	𢴄	da1			
a	1	𢶍	𢶍	sa1			
a	1	𢼣	𢼣	qa1			
a	1	𣁳	𣁳	wa1			
a	1	𣁴	𣁴	qa1			
a	1	𣘟	𣘟	qa1			
a	1	𣘤	𣘤	chua1			
a	1	𣢗	𣢗	xa1			
a	1	𣤊	𣤊	la1			
a	1	𣤶	𣤶	za1			
a	1	𣥂	𣥂	ta1			
a	1	𣬬	𣬬	sa1			
a	1	𣮫	𣮫	ja1			
a	1	𣻑	𣻑	sha1			
a	1	𤁫	𤁫	chua1			
a	1	𤁳	𤁳	zha1			
a	1	𤛊	𤛊	la1			
a	1	𤜯	𤜯	cha1			
a	1	𤝰	𤝰	da1			
a	1	𤠙	𤠙	ja1			
a	1	𤫶	𤫶	qa1			
a	1	𤬷	𤬷	na1			
a	1	𤵾	𤵾	cha1			
a	1	𤶠	𤶠	zha1			
a	1	𤷈	𤷈	na1			
a	1	𤹡	𤹡	zha1			
a	1	𥀈	𥀈	zha1			
a	1	𥀰	𥀰	la1			
a	1	𥃐	𥃐	cha1			
a	1	𥄎	𥄎	wa1			
a	1	𥈔	𥈔	ya1			
a	1	𥈙	𥈙	la1			
a	1	𥉻	𥉻	chua1			
a	1	𥎰	𥎰	fa1			
a	1	𥑐	𥑐	ja1			
a	1	𥗥	𥗥	ma1			
a	1	𥗭	𥗭	ca1			
a	1	𥡧	𥡧	zha1			
a	1	𥬸	𥬸	zhua1			
a	1	𥴭	𥴭	qa1			
a	1	𥻦	𥻦	sa1			
a	1	𦅶	𦅶	la1			
a	1	𦍒	𦍒	ta1			
a	1	𦐇	𦐇	ta1			
a	1	𦑇	𦑇	ta1			
a	1	𦒆	𦒆	la1			
a	1	𦒦	𦒦	la1			
a	1	𦘍	𦘍	wa1			
a	1	𦤙	𦤙	wa1			
a	1	𦧟	𦧟	ta1			
a	1	𦧭	𦧭	ta1			
a	1	𦪙	𦪙	ta1			
a	1	𦬹	𦬹	da1			
a	1	𦳏	𦳏	zha1			
a	1	𦶎	𦶎	hua1			
a	1	𦶑	𦶑	ta1			
a	1	𦸉	𦸉	qa1			
a	1	𦹬	𦹬	kua1			
a	1	𦼧	𦼧	sa1			
a	1	𧉪	𧉪	ja1			
a	1	𧉫	𧉫	zha1			
a	1	𧞍	𧞍	na1			
a	1	𧣃	𧣃	pa1			
a	1	𧪦	𧪦	ta1			
a	1	𧬅	𧬅	zha1			
a	1	𧬭	𧬭	gua1			
a	1	𧲌	𧲌	sha1			
a	1	𧳛	𧳛	sha1			
a	1	𧶇	𧶇	zha1			
a	1	𧻵	𧻵	sha1			
a	1	𨂁	𨂁	ya1			
a	1	𨅞	𨅞	da1			
a	1	𨆂	𨆂	sa1			
a	1	𨋐	𨋐	pa1			
a	1	𨌭	𨌭	ta1			
a	1	𨐖	𨐖	sa1			
a	1	𨒇	𨒇	ja1			
a	1	𨔣	𨔣	ja1			
a	1	𩊮	𩊮	sha1			
a	1	𩌍	𩌍	ja1			
a	1	𩎕	𩎕	sa1			
a	1	𩑛	𩑛	fa1			
a	1	𩚛	𩚛	na1			
a	1	𩝣	𩝣	da1			
a	1	𩝨	𩝨	hua1			
a	1	𩠖	𩠖	fa1			
a	1	𩡩	𩡩	ba1			
a	1	𩥑	𩥑	ta1			
a	1	𩮁	𩮁	ja1			
a	1	𩮁	𩮁	qa1			
a	1	𩮂	𩮂	xa1			
a	1	𩮝	𩮝	ya1			
a	1	𩴳	𩴳	chua1			
a	1	𩿤	𩿤	zha1			
a	1	𪂌	𪂌	ta1			
a	1	𪃈	𪃈	ja1			
a	1	𪆰	𪆰	ya1			
a	1	𪇹	𪇹	la1			
a	1	𪈟	𪈟	ja1			
a	1	𪒜	𪒜	ma1			
a	1	𪗔	𪗔	pa1			
a	1	𪗭	𪗭	zha1			
a	1	𪗾	𪗾	xa1			
a	1	𪘁	𪘁	ta1			
a	1	𪙷	𪙷	la1			
a	1	𪙻	𪙻	chua1			
a	2	乏	乏	fa2			
a	2	牙	牙	ya2			
a	2	伐	伐	fa2			
a	2	划	划	hua2			
a	2	舌	舌	hua2			
a	2	匣	匣	xa2			
a	2	吾	吾	ya2			
a	2	呀	呀	ya2			
a	2	姂	姂	fa2			
a	2	庌	庌	ya2			
a	2	泛	泛	fa2			
a	2	芽	芽	ya2			
a	2	厓	厓	ya2			
a	2	坺	坺	fa2			
a	2	拔	拔	ba2			
a	2	拔	拔	fa2			
a	2	杷	杷	pa2			
a	2	枒	枒	ya2			
a	2	沓	沓	da2			
a	2	爬	爬	pa2			
a	2	狎	狎	xa2			
a	2	秅	秅	cha2			
a	2	苴	苴	cha2			
a	2	拏	拏	na2			
a	2	㳐	㳐	zha2			
a	2	咶	咶	hua2			
a	2	垡	垡	fa2			
a	2	姡	姡	hua2			
a	2	柙	柙	xa2			
a	2	查	查	cha2			
a	2	査	査	cha2			
a	2	洽	洽	xa2			
a	2	炠	炠	xa2			
a	2	砎	砎	xa2			
a	2	茬	茬	cha2			
a	2	茷	茷	fa2			
a	2	陜	陜	xa2			
a	2	茶	茶	cha2			
a	2	䑔	䑔	fa2			
a	2	峽	峡	xa2			
a	2	崋	崋	hua2			
a	2	拿	拿	na2			
a	2	挐	挐	na2			
a	2	敌	敌	hua2			
a	2	栰	栰	fa2			
a	2	烚	烚	xa2			
a	2	狹	狭	xa2			
a	2	珨	珨	xa2			
a	2	眔	眔	da2			
a	2	砸	砸	za2			
a	2	祫	祫	xa2			
a	2	荼	荼	cha2			
a	2	華	华	hua2			
a	2	蚜	蚜	ya2			
a	2	㧺	㧺	da2			
a	2	䅊	䅊	cha2			
a	2	䍇	䍇	da2			
a	2	啀	啀	ya2			
a	2	崖	崖	ya2			
a	2	捱	捱	ya2			
a	2	梌	梌	cha2			
a	2	涯	涯	ya2			
a	2	涾	涾	da2			
a	2	猚	猚	ya2			
a	2	笚	笚	xa2			
a	2	笯	笯	na2			
a	2	翈	翈	xa2			
a	2	菝	菝	ba2			
a	2	釫	釫	hua2			
a	2	陿	陿	xa2			
a	2	麻	麻	ma2			
a	2	㥟	㥟	xa2			
a	2	㭼	㭼	da2			
a	2	䞩	䞩	xa2			
a	2	䴳	䴳	hua2			
a	2	搽	搽	cha2			
a	2	渫	渫	zha2			
a	2	猾	猾	hua2			
a	2	琶	琶	pa2			
a	2	硤	硖	xa2			
a	2	筏	筏	fa2			
a	2	詉	詉	na2			
a	2	遐	遐	xa2			
a	2	達	达	da2			
a	2	㨙	㨙	xa2			
a	2	䂿	䂿	da2			
a	2	䣹	䣹	fa2			
a	2	䪞	䪞	za2			
a	2	嘩	哗	hua2			
a	2	塗	涂	cha2			
a	2	慀	慀	xa2			
a	2	楂	楂	cha2			
a	2	槎	槎	cha2			
a	2	煠	煠	zha2			
a	2	牐	牐	zha2			
a	2	瑕	瑕	xa2			
a	2	痲	麻	ma2			
a	2	舝	舝	xa2			
a	2	蒘	蒘	na2			
a	2	衙	衙	ya2			
a	2	遝	遝	da2			
a	2	韴	韴	za2			
a	2	滑	滑	hua2			
a	2	㢒	㢒	cha2			
a	2	㦄	㦄	ma2			
a	2	䦖	䦖	xa2			
a	2	䨐	䨐	xa2			
a	2	摣	摣	na2			
a	2	榽	榽	xa2			
a	2	樺	桦	hua2			
