韻	字	簡化字	推導音	校正音	罕用標記	註
ang	緉		liang4			
ang	蔣	蒋	ziang3			
ang	蜯		bang4			
ang	蜽		liang3			
ang	誏		lang3			
ang	誑	诳	guang4			
ang	誩		jang4			
ang	踉		liang4			
ang	閧		xang4			
ang	鞅		yang3			
ang	餉	饷	shang4			
ang	養	养	yang3			
ang	養	养	yang4			
ang	髣	仿	fang3			
ang	㦼		shuang4			
ang	㬒		mang3			
ang	㯍		ziang3			
ang	㼽		chuang3			
ang	㼽		shuang3			
ang	䁜		huang3			
ang	䎫		chuang4			
ang	䑗		dang4			
ang	䲱		fang3			
ang	䴚		gang3			
ang	儅	当	dang4			
ang	幢		zhuang4			
ang	廠	厂	chang3			
ang	廠	厂	chang4			
ang	憧		zhuang4			
ang	撞		zhuang4			
ang	曏	向	shang3			
ang	曏	向	shang4			
ang	曏	向	xang3			
ang	曏	向	xang4			
ang	槳	桨	ziang3			
ang	樉		shuang3			
ang	樣	样	yang4			
ang	橡		siang4			
ang	獎	奖	ziang3			
ang	皝		huang4			
ang	磉		sang3			
ang	蕩	荡	dang3			
ang	蕩	荡	dang4			
ang	蕩	荡	tang4			
ang	誷		wang3			
ang	賞	赏	shang3			
ang	賬	账	zhang4			
ang	躺		tang3			
ang	輛	辆	liang4			
ang	輞	辋	wang3			
ang	閬	阆	lang4			
ang	駔	驵	zang3			
ang	駚		ang3			
ang	駚		yang3			
ang	諒	谅	liang4			
ang	䒍		pang3			
ang	彊	强	jang4			
ang	憼		jang3			
ang	擃		nang3			
ang	擋	挡	dang3			
ang	擋	挡	dang4			
ang	氅		chang3			
ang	燙	烫	tang4			
ang	瘴		zhang4			
ang	磢		chuang3			
ang	耩		jang3			
ang	膙		jang3			
ang	螃		bang3			
ang	螃		bang4			
ang	蟒		mang3			
ang	襐		siang4			
ang	諹		yang4			
ang	謊	谎	huang3			
ang	踼		dang4			
ang	踼		tang3			
ang	鄺	邝	guang3			
ang	鋹		chang3			
ang	鋼	钢	kang4			
ang	䁳		mang3			
ang	䉃		ziang3			
ang	䩨		chang4			
ang	償	偿	shang3			
ang	償	偿	shang4			
ang	嚮	向	xang3			
ang	嚮	向	xang4			
ang	壙	圹	kuang4			
ang	懭		kang3			
ang	擴	扩	huang4			
ang	瀁	漾	yang3			
ang	瀁	漾	yang4			
ang	瀇		wang3			
ang	獷	犷	guang3			
ang	璗		dang4			
ang	盪	荡	dang4			
ang	盪	荡	tang4			
ang	繈	襁	jang3			
ang	藏		zang4			
ang	蟓		shang4			
ang	蟓		siang4			
ang	蠁		xang3			
ang	蠁		xang4			
ang	蠎		mang3			
ang	襁		jang3			
ang	謗	谤	bang4			
ang	講	讲	jang3			
ang	醠		ang3			
ang	醠		ang4			
ang	韔		chang4			
ang	魍		wang3			
ang	魎	魉	liang3			
ang	䒎		mang3			
ang	䚎		chuang4			
ang	䭐		yang4			
ang	䰃		bang3			
ang	懬		kuang3			
ang	曠	旷	kuang4			
ang	櫎		huang4			
ang	爌		huang3			
ang	爌		kuang3			
ang	爌		kuang4			
ang	簜		dang4			
ang	糨		jang4			
ang	臩		guang3			
ang	艟		zhuang4			
ang	蹡		ciang4			
ang	醬	酱	ziang4			
ang	闖	闯	chuang3			
ang	颺	扬	yang4			
ang	鯗	鲞	siang3			
ang	䡴		zhuang4			
ang	䤑		wang4			
