etq 恀
etr 闡
ett 掣
fab 沛
fab 霈
fak 膊
fak 粕
fas 乓
fas 鎊
fas 滂
faw 耪
fay 啡
fbb 肺
fbc 泛
fbc 氾
fbe 釩
fbf 翻
fbf 番
fbf 幡
fbs 芳
fbs 妨
fbw 仿
fbw 紡
fbx 訪
fds 抨
fds 砰
fds 姘
fds 怦
fdv 盼
fdz 派
feh 批
fek 劈
fek 霹
fek 僻
fek 癖
fen 媲
fen 睥
fes 拼
fes 拚
fes 俜
fet 撇
fet 瞥
fev 片
fga 披
fga 鈹
fga 帔
fgs 乒
fgz 帔
fif 繽
fih 紕
fih 砒
fin 屁
fit 匹
fiv 牝
fjk 朴
fjk 璞
fjx 胖
fke 品
fkh 丕
fla 敷
fla 俘
fla 孵
fla 孚
fla 麩
fla 桴
flf 紛
flf 氛
flf 芬
flf 拚
flf 棻
flh 菲
flh 霏
flk 覆
fln 費
flq 撫
flq 拊
fls 豐
fls 酆
flt 彿
flt 拂
flt 艴
flv 忿
flv 湓
fly 菲
fly 斐
fly 悱
flz 赴
flz 訃
flz 仆
fms 峰
fms 鋒
fms 蜂
fms 烽
fms 丰
fmw 捧
fmz 副
fyq 普
fyq 浦
fyq 埔
fyq 溥
fyq 氆
fyq 鐠
fpf 噴
fpv 湓
fsa 坡
fsa 玻
fsa 頗
fsf 番
fsf 潘
fsh 坯
fsh 胚
fsh 呸
fsn 配
fsn 妃
fsq 頗
fsq 叵
fsq 笸
fst 潑
fst 醱
fsv 判
fsv 泮
fsz 破
ftf 篇
ftf 偏
ftf 翩
ftj 漂
ftj 飄
ftj 鏢
ftj 嘌
ftj 螵
ftk 僻
ftk 辟
ftk 癖
ftm 票
ftm 漂
ftq 仳
ftt 瞥
ftt 氘
ftu 縹
ftu 瞟
ftv 騙
ftx 聘
ftx 娉
ftx 俜
ftz 譬
fuk 撲
fuk 扑
fuq 剖
fya 鋪
fyz 鋪
fyz 舖
fza 趴
fza 葩
fzf 攀
fzj 泡
fzj 胞
fzj 拋
fzk 拍
fzk 魄
fzk 珀
fzm 炮
fzm 砲
fzm 皰
fzn 湃
fzs 澎
fzs 烹
fzz 怕
fzz 帕
gaa 何
gaa 河
gaa 荷
gaa 苛
gab 害
gad 酣
gad 邯
gaf 韓
gaf 寒
gaf 邗
gah 還
gah 孩
gah 咳
gah 頦
gaj 號
gaj 豪
gaj 毫
gaj 蠔
gaj 嚎
gaj 濠
gaj 壕
gaj 蚝
gaj 嗥
gak 鶴
gak 涸
gak 貉
gam 號
gap 闔
gaq 荷
gar 旱
gas 行
gas 航
gas 杭
gas 吭
gas 肮
gas 桁
gas 沆
gas 頏
gat 褐
gau 浩
gau 鎬
gau 灝
gau 昊
gau 顥
gav 汗
gav 翰
gav 捍
gav 悍
gav 瀚
gav 扞
gav 銲
gav 釬
gav 矸
gaw 骯
gaw 吭
gaw 沆
gax 吭
gax 戇
gay 亥
gaz 賀
gaz 菏
gba 瘸
gbr 菌
gbs 狂
gbs 鵟
gbt 掘
gbt 橛
gbx 誆
gcs 瓊
gcs 煢
gda 鞋
gdc 陷
gdc 餡
gdd 鹹
gdd 咸
gdf 閒
gdf 癇
gdf 嫻
gdf 嫺
gdf 閑
gdk 核
gdk 覈
gdp 洽
gdp 峽
gdp 狹
gdq 蟹
gdq 拐
gdr 限
gds 莖
gdt 黠
gdv 莧
gdw 幸
gdw 倖
gdw 悻
gdz 邂
ged 嫌
gef 賢
gef 弦
gef 絃
gef 舷
gef 掮
geh 兮
geh 奚
geh 嵇
geh 鼷
geh 蹊
gek 檄
gen 系
gen 繫
gep 協
gep 俠
gep 挾
gep 勰
ger 蜆
ges 型
ges 形
ges 刑
ges 邢
get 擷
get 頡
gev 現
gew 脛
gex 脛
gfk 劃
gfk 獲
gfk 畫
gfs 宏
gfs 浤
gfs 閎
gfs 嶸
gft 滑
gft 猾
gft 鶻
gfv 幻
gfz 畫
gga 奇
gga 騎
gga 琦
gga 錡
ggb 偈
ggd 鉗
ggd 箝
ggd 黔
ggd 鍼
gge 儉
gge 芡
ggf 乾
ggf 虔
ggj 橋
ggj 僑
ggj 喬
ggj 蕎
ggk 劇
ggk 屐
ggm 轎
ggp 笈
ggq 技
ggq 妓
ggq 伎
ggr 件
ggr 鍵
ggs 擎
ggs 鯨
ggs 黥
ggt 傑
ggt 竭
ggt 杰
ggt 偈
ggt 桀
ggt 碣
ggx 競
ggx 儆
ggz 騎
gih 鰭
gih 耆
gih 祁
giy 跽
gja 渠
gja 璩
gjf 勤
gjf 芹
gjf 矜
gjf 蘄
gjh 祈
gjh 崎
